id,user_id,time
1,864,4/16/2013 12:00:00 AM
2,237,4/16/2013 12:00:00 AM
3,795,4/16/2013 12:00:00 AM
4,140,4/16/2013 12:00:00 AM
5,165,4/16/2013 12:00:00 AM
6,354,4/16/2013 12:00:00 AM
7,615,4/16/2013 12:00:00 AM
8,66,4/16/2013 12:00:00 AM
9,9,4/16/2013 12:00:00 AM
10,193,4/16/2013 12:00:00 AM
11,74,4/16/2013 12:00:00 AM
12,460,4/16/2013 12:00:00 AM
13,817,4/16/2013 12:00:00 AM
14,449,4/16/2013 12:00:00 AM
15,81,4/16/2013 12:00:00 AM
16,621,4/16/2013 12:00:00 AM
17,549,4/16/2013 12:00:00 AM
18,256,4/16/2013 12:00:00 AM
19,654,4/16/2013 12:00:00 AM
20,581,4/16/2013 12:00:00 AM
21,517,4/16/2013 12:00:00 AM
22,758,4/16/2013 12:00:00 AM
23,330,4/16/2013 12:00:00 AM
24,535,4/16/2013 12:00:00 AM
25,855,4/16/2013 12:00:00 AM
26,479,4/16/2013 12:00:00 AM
27,697,4/16/2013 12:00:00 AM
28,920,4/16/2013 12:00:00 AM
29,711,4/16/2013 12:00:00 AM
30,873,4/16/2013 12:00:00 AM
31,138,4/16/2013 12:00:00 AM
32,683,4/16/2013 12:00:00 AM
33,653,4/16/2013 12:00:00 AM
34,819,4/16/2013 12:00:00 AM
35,133,4/16/2013 12:00:00 AM
36,927,4/16/2013 12:00:00 AM
37,500,4/16/2013 12:00:00 AM
38,131,4/16/2013 12:00:00 AM
39,845,4/16/2013 12:00:00 AM
40,408,4/16/2013 12:00:00 AM
41,547,4/16/2013 12:00:00 AM
42,998,4/16/2013 12:00:00 AM
43,886,4/16/2013 12:00:00 AM
44,1024,4/16/2013 12:00:00 AM
45,396,4/16/2013 12:00:00 AM
46,82,4/16/2013 12:00:00 AM
47,174,4/16/2013 12:00:00 AM
48,601,4/16/2013 12:00:00 AM
49,279,4/16/2013 12:00:00 AM
50,870,4/16/2013 12:00:00 AM
51,892,4/16/2013 12:00:00 AM
52,620,4/16/2013 12:00:00 AM
53,674,4/16/2013 12:00:00 AM
54,361,4/16/2013 12:00:00 AM
55,812,4/16/2013 12:00:00 AM
56,106,4/16/2013 12:00:00 AM
57,908,4/16/2013 12:00:00 AM
58,260,4/16/2013 12:00:00 AM
59,286,4/16/2013 12:00:00 AM
60,686,4/16/2013 12:00:00 AM
61,657,4/16/2013 12:00:00 AM
62,696,4/16/2013 12:00:00 AM
63,355,4/16/2013 12:00:00 AM
64,137,4/16/2013 12:00:00 AM
65,56,4/16/2013 12:00:00 AM
66,392,4/16/2013 12:00:00 AM
